Index,Provenance,22/4/04,29/04/04,06/05/04,13/05/04
0,Sonning Common (control),1,2,3,5
1,Sonning Common (control),1,3,5,6
2,Sonning Common (control),1,2,2,5
3,Sonning Common (control),1,2,3,5
4,Sonning Common (control),1,2,3,5
5,Sonning Common (control),1,2,2,5
6,"GB Westfield, Moray",2,4,5,7
7,"GB Westfield, Moray",1,1,3,6
8,"GB Westfield, Moray",1,2,3,5
9,"GB Westfield, Moray",1,1,1,4
10,"GB Westfield, Moray",2,3,4,6
11,"GB Westfield, Moray",1,2,3,6
12,CZECH Horni Plana-Ce.,3,7,7,7
13,CZECH Horni Plana-Ce.,2,4,6,7
14,CZECH Horni Plana-Ce.,2,3,5,6
15,CZECH Horni Plana-Ce.,2,5,6,7
16,CZECH Horni Plana-Ce.,1,2,4,6
17,CZECH Horni Plana-Ce.,2,6,7,7
18,FRANCE Perche,1,2,3,5
19,FRANCE Perche,1,3,5,6
20,FRANCE Perche,1,3,5,6
21,FRANCE Perche,1,2,4,6
22,FRANCE Perche,1,1,3,5
23,FRANCE Perche,1,2,3,5
24,GB Cirencester Park,1,2,3,5
25,GB Cirencester Park,2,5,6,7
26,GB Cirencester Park,1,2,3,5
27,GB Cirencester Park,1,2,4,6
28,GB Cirencester Park,1,2,3,5
29,GB Cirencester Park,1,1,2,5
30,BELGIUM Soignes,1,2,3,6
31,BELGIUM Soignes,1,2,3,6
32,BELGIUM Soignes,3,6,7,7
33,BELGIUM Soignes,1,1,1,3
34,BELGIUM Soignes,1,2,2,2
35,BELGIUM Soignes,1,1,1,2
36,NETHERLANDS Elspeet,1,1,1,3
37,NETHERLANDS Elspeet,1,1,1,2
38,NETHERLANDS Elspeet,1,2,3,5
39,NETHERLANDS Elspeet,1,2,3,5
40,NETHERLANDS Elspeet,1,3,5,6
41,NETHERLANDS Elspeet,1,1,1,3
42,GERMANY Farchau,1,1,1,4
43,GERMANY Farchau,1,2,4,6
44,GERMANY Farchau,1,3,5,7
45,GERMANY Farchau,2,5,6,7
46,GERMANY Farchau,2,5,5,6
47,GERMANY Farchau,2,5,5,7
48,FRANCE Plateaux du,2,3,5,7
49,FRANCE Plateaux du,1,3,5,7
50,FRANCE Plateaux du,2,4,6,7
51,FRANCE Plateaux du,1,2,4,6
52,FRANCE Plateaux du,2,3,3,6
53,FRANCE Plateaux du,1,2,2,5
54,FRANCE Bretagne,2,5,6,7
55,FRANCE Bretagne,1,3,5,7
56,FRANCE Bretagne,1,4,5,6
57,FRANCE Bretagne,1,1,1,2
58,FRANCE Bretagne,1,2,3,5
59,FRANCE Bretagne,2,3,5,6
60,"GB Lowther Estate, Cumbria",2,4,5,6
61,"GB Lowther Estate, Cumbria",2,2,4,6
62,"GB Lowther Estate, Cumbria",1,2,2,5
63,"GB Lowther Estate, Cumbria",1,2,2,5
64,"GB Lowther Estate, Cumbria",1,2,5,6
65,"GB Lowther Estate, Cumbria",1,3,5,6
66,CZECH Jablonec NN,2,6,7,7
67,CZECH Jablonec NN,3,7,7,7
68,CZECH Jablonec NN,1,2,2,5
69,CZECH Jablonec NN,2,5,7,7
70,CZECH Jablonec NN,2,5,6,7
71,CZECH Jablonec NN,1,3,5,7
72,DENMARK Grasten,1,2,4,7
73,DENMARK Grasten,2,3,4,6
74,DENMARK Grasten,1,2,3,6
75,DENMARK Grasten,2,4,6,7
76,DENMARK Grasten,2,4,6,7
77,DENMARK Grasten,2,4,6,7
78,GERMANY Urach,1,3,5,6
79,GERMANY Urach,1,3,5,6
80,GERMANY Urach,1,2,2,5
81,GERMANY Urach,1,2,3,5
82,GERMANY Urach,1,2,4,6
83,GERMANY Urach,1,3,6,7
84,Sonning Common (control),1,2,3,6
85,Sonning Common (control),3,6,7,7
86,Sonning Common (control),2,4,5,6
87,Sonning Common (control),1,2,3,6
88,Sonning Common (control),1,2,3,5
89,Sonning Common (control),1,2,3,5
90,LUX Heinerscheid,1,2,3,5
91,LUX Heinerscheid,1,2,3,6
92,LUX Heinerscheid,1,2,2,4
93,LUX Heinerscheid,1,2,3,5
94,LUX Heinerscheid,1,1,2,5
95,LUX Heinerscheid,1,2,2,5
96,SLOVENIA Postojna Masun,2,6,7,7
97,SLOVENIA Postojna Masun,2,3,5,6
98,SLOVENIA Postojna Masun,1,5,6,7
99,SLOVENIA Postojna Masun,1,3,5,7
100,SLOVENIA Postojna Masun,2,6,6,7
101,SLOVENIA Postojna Masun,1,1,1,5
102,NETHERLANDS Aarnink,1,2,3,6
103,NETHERLANDS Aarnink,1,2,3,5
104,NETHERLANDS Aarnink,1,2,3,6
105,NETHERLANDS Aarnink,1,2,5,6
106,NETHERLANDS Aarnink,1,2,3,5
107,NETHERLANDS Aarnink,1,2,2,4
108,South Downs  Q.E. (Control),1,2,4,6
109,South Downs  Q.E. (Control),1,2,3,5
110,South Downs  Q.E. (Control),1,2,3,6
111,South Downs  Q.E. (Control),1,2,3,6
112,South Downs  Q.E. (Control),1,2,3,5
113,South Downs  Q.E. (Control),1,2,3,5
114,GB South Downs Q.E. ,1,2,2,4
115,GB South Downs Q.E. ,1,2,3,5
116,GB South Downs Q.E. ,2,3,5,7
117,GB South Downs Q.E. ,1,3,5,7
118,GB South Downs Q.E. ,1,2,2,4
119,GB South Downs Q.E. ,1,2,3,6
120,FRANCE Bourdure Man,1,2,5,7
121,FRANCE Bourdure Man,1,1,2,5
122,FRANCE Bourdure Man,1,2,4,6
123,FRANCE Bourdure Man,1,2,3,6
124,FRANCE Bourdure Man,1,2,3,6
125,FRANCE Bourdure Man,1,1,2,5
126,South Downs  Q.E. (Control),1,2,3,6
127,South Downs  Q.E. (Control),1,2,3,5
